Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Vidyaranyapura,"99,569","98,416","69,507","56,241","55,005","40,178",98.80%,70.60%,80.90%,97.80%,"14,817",26.90%,40.40%,"₹61,47,191",9.3,₹157.99,"3,64,137"
Uttarahalli,"1,18,135","1,16,704","87,939","61,142","59,274","40,064",98.80%,75.40%,69.50%,96.90%,"19,202",32.40%,33.90%,"₹52,08,188",7,₹124.97,"2,99,237"
Chatrapati Shivaji,"1,40,274","1,38,706","94,266","70,151","68,524","39,528",98.90%,68.00%,74.40%,97.70%,"28,979",42.30%,28.20%,"₹65,23,301",9.7,₹166.54,"3,78,855"
Vijnana Nagar,"1,82,005","1,79,391","1,50,396","60,144","59,156","39,242",98.60%,83.80%,40.00%,98.40%,"19,907",33.70%,21.60%,"₹62,11,970",8.9,₹158.22,"3,53,969"
Begur,"1,71,160","1,68,811","1,34,055","64,903","63,417","38,918",98.60%,79.40%,48.40%,97.70%,"24,494",38.60%,22.70%,"₹65,81,812",9.4,₹163.13,"3,84,292"
New Bayappanahalli,"1,63,714","1,61,864","1,34,917","66,057","64,746","38,664",98.90%,83.40%,49.00%,98.00%,"26,075",40.30%,23.60%,"₹54,01,033",8,₹142.69,"3,06,915"
Padmanabha Nagar,"1,00,520","99,226","75,475","55,877","54,113","37,986",98.70%,76.10%,74.00%,96.80%,"16,117",29.80%,37.80%,"₹45,57,013",6.1,₹109.42,"2,60,015"
Umamaheshwara Ward,"1,06,080","1,04,551","80,658","57,472","55,864","37,871",98.60%,77.10%,71.30%,97.20%,"17,985",32.20%,35.70%,"₹46,77,075",7.4,₹131.22,"2,65,997"
Malleswaram,"1,01,574","1,00,102","72,903","55,379","53,925","36,976",98.60%,72.80%,76.00%,97.40%,"16,938",31.40%,36.40%,"₹45,77,915",6.9,₹122.18,"2,63,282"
Yelahanka Satellite Town,"1,05,602","1,04,352","73,974","59,099","57,846","36,905",98.80%,70.90%,79.90%,97.90%,"20,927",36.20%,34.90%,"₹61,02,280",8.4,₹146.91,"3,62,577"
Hagadur,"1,78,798","1,75,562","1,37,138","62,257","60,947","36,793",98.20%,78.10%,45.40%,97.90%,"24,146",39.60%,20.60%,"₹69,24,557",10.3,₹179.56,"4,05,035"
Ramamurthy Nagara,"1,38,121","1,36,851","1,06,714","57,541","56,552","36,723",99.10%,78.00%,53.90%,98.30%,"19,819",35.00%,26.60%,"₹53,32,088",7.6,₹135.08,"3,05,592"
Chamrajapet,"1,20,423","1,18,897","89,555","62,184","60,729","36,201",98.70%,75.30%,69.40%,97.70%,"24,514",40.40%,30.10%,"₹46,31,831",6.8,₹120.66,"2,67,514"
Kacharkanahalli,"1,13,652","1,12,530","89,233","56,831","55,811","36,080",99.00%,79.30%,63.70%,98.20%,"19,715",35.30%,31.80%,"₹47,84,154",7.4,₹131.89,"2,72,009"
Kaval Bairasandra,"1,13,224","1,12,190","88,444","55,971","54,687","35,633",99.10%,78.80%,63.30%,97.70%,"19,044",34.80%,31.50%,"₹49,21,870",7.7,₹137.42,"2,82,853"
Anjanapura,"1,13,853","1,11,316","83,751","54,581","52,561","35,483",97.80%,75.20%,65.20%,96.30%,"17,074",32.50%,31.20%,"₹54,72,699",8.9,₹153.10,"3,21,305"
Devarachikkanahalli,"1,52,070","1,49,966","1,20,928","57,163","55,824","35,088",98.60%,80.60%,47.30%,97.70%,"20,728",37.10%,23.10%,"₹53,23,139",8.4,₹150.90,"3,05,794"
Varthuru,"2,44,872","2,34,415","1,93,492","57,630","56,517","33,745",95.70%,82.50%,29.80%,98.10%,"22,767",40.30%,13.80%,"₹71,23,850",11.3,₹197.28,"4,21,376"
Jayachamarajendra  Nagar,"98,878","97,742","76,098","52,022","50,898","33,715",98.90%,77.90%,68.40%,97.80%,"17,175",33.70%,34.10%,"₹45,55,849",7.4,₹130.49,"2,61,994"
Lakkasandra,"1,56,361","1,54,652","1,29,327","58,666","57,475","33,637",98.90%,83.60%,45.40%,98.00%,"23,828",41.50%,21.50%,"₹44,58,690",7.5,₹136.50,"2,52,724"
Shettihalli,"1,04,853","1,03,458","72,456","53,023","51,637","33,481",98.70%,70.00%,73.20%,97.40%,"18,148",35.10%,31.90%,"₹46,13,520",7.9,₹133.93,"2,72,828"
Katriguppe,"86,109","84,960","63,015","49,464","48,012","33,436",98.70%,74.20%,78.50%,97.10%,"14,568",30.30%,38.80%,"₹39,61,933",6,₹108.06,"2,26,682"
Dattatreya Temple,"85,848","84,361","63,258","48,972","47,953","33,435",98.30%,75.00%,77.40%,97.90%,"14,506",30.30%,39.00%,"₹42,94,825",6.7,₹120.14,"2,47,596"
Garudachar Playa,"1,50,827","1,49,354","1,23,107","60,386","59,209","33,183",99.00%,82.40%,49.00%,98.10%,"26,015",43.90%,22.00%,"₹56,61,001",9.8,₹174.29,"3,23,614"
Kumaraswamy Layout,"89,591","88,475","65,097","49,539","48,285","32,465",98.80%,73.60%,76.10%,97.50%,"15,813",32.80%,36.20%,"₹38,59,347",6.2,₹111.58,"2,19,104"
Attiguppe,"77,414","76,250","51,849","45,741","44,194","32,156",98.50%,68.00%,88.20%,96.60%,"12,027",27.20%,41.50%,"₹40,02,636",7.3,₹126.97,"2,31,525"
Neelasandra,"1,38,052","1,36,818","1,17,189","53,689","52,718","32,060",99.10%,85.70%,45.80%,98.20%,"20,641",39.10%,23.20%,"₹38,41,023",6.6,₹121.67,"2,11,588"
Jayamahal,"1,14,603","1,13,358","88,167","53,771","52,894","31,390",98.90%,77.80%,61.00%,98.40%,"21,495",40.60%,27.40%,"₹45,65,127",7.5,₹139.51,"2,53,740"
Sudham Nagara,"1,29,393","1,27,861","1,04,705","54,096","52,898","31,380",98.80%,81.90%,51.70%,97.80%,"21,503",40.60%,24.30%,"₹43,99,210",7.4,₹131.19,"2,52,682"
Gurappanapalya,"1,46,115","1,44,107","1,17,336","60,913","59,595","31,004",98.60%,81.40%,51.90%,97.80%,"28,579",48.00%,21.20%,"₹41,13,217",7.4,₹135.50,"2,30,858"
Kempegowda Ward,"1,29,204","1,26,973","90,447","52,232","51,180","30,745",98.30%,71.20%,57.80%,98.00%,"20,427",39.90%,23.80%,"₹56,55,939",12.3,₹206.54,"3,39,904"
Medahalli,"1,24,102","1,22,610","94,053","50,180","49,299","30,738",98.80%,76.70%,53.30%,98.20%,"18,553",37.60%,24.80%,"₹53,89,615",10.2,₹174.86,"3,16,312"
Kudlu,"1,57,071","1,54,391","1,29,652","50,368","49,319","30,512",98.30%,84.00%,38.90%,97.90%,"18,809",38.10%,19.40%,"₹51,19,106",9.8,₹170.76,"2,95,586"
